LevelPathI,group_size,comment,fixed
800084254,1,,FALSE
800016707,1,,FALSE
350048369,1,,FALSE
350086823,1,,FALSE
800006531,1,,FALSE
800002474,1,,FALSE
90024251,1,,FALSE
350020229,2,WBD delineation is problematic around dominant artificial path lp# 350020229.,FALSE
350050378,1,,FALSE
350100874,1,,FALSE
350033560,2,WBD delineation is problematic around dominant artificial path lp# 350020229.,FALSE
350025009,1,,FALSE
350010763,1,,FALSE
350025102,1,,FALSE
350028099,1,,FALSE
350002528,1,080801010407 intersects mainstem and shouldn't,FALSE
350010387,6,LevelPath 350010387 is a boundary between HUs (artificial path),FALSE
350019041,1,,FALSE
350020222,1,,FALSE
350025285,1,,FALSE
350002728,1,,FALSE
350030769,1,,FALSE
350025363,2,"WBD boundary along artificial path, no good solution other than redilineate.",FALSE
350149594,2,"WBD boundary along artificial path, no good solution other than redelineate.",FALSE
350008473,1,,FALSE
350060547,1,,FALSE
350017549,1,,FALSE
630023853,1,,FALSE
630013693,1,,FALSE
90017271,1,,FALSE
350039695,1,,FALSE
270007982,1,,FALSE
270013925,1,,FALSE
840001831,1,,FALSE
270018109,1,,FALSE
150024782,1,,FALSE
150008175,1,,FALSE
680004208,1,,FALSE
270023272,1,,FALSE
250023494,1,,FALSE
10004787,5,error in nhd WBD OK,FALSE
10013008,1,,FALSE
10013984,1,,FALSE
680037059,1,,FALSE
680013674,2,NHD LevelPath is a problem artificial path,FALSE
390104872,1,,FALSE
720031077,1,,FALSE
760019232,1,,FALSE
760011878,1,,FALSE
760014611,1,,FALSE
760018556,1,,FALSE
760017297,1,,FALSE
760011906,1,,FALSE
720007842,1,,FALSE
720008795,1,,FALSE
720012486,1,,FALSE
720030400,1,,FALSE
720021248,1,,FALSE
720025371,1,,FALSE
720025435,2,Not enough NHD density to match,FALSE
350028066,1,,FALSE
90025048,1,,FALSE
90010660,1,,FALSE
350039128,1,,FALSE
510100342,1,,FALSE
510012408,1,,FALSE
430001388,1,,FALSE
510002581,1,,FALSE
510068090,1,,FALSE
510020553,1,,FALSE
510021725,2,"Odd headwater overlap confounding issue in 070300050404, looks OK",FALSE
510029717,1,,FALSE
510026951,2,"Odd headwater overlap confounding issue in 070200090602, looks OK",FALSE
510033273,1,,FALSE
510024609,1,,FALSE
510036529,1,,FALSE
510031083,1,,FALSE
350011550,1,,FALSE
350026243,1,,FALSE
350008485,1,,FALSE
350008531,3,Misdirected at 080302071803 but also too many crazy things going on.,FALSE
350027332,1,,FALSE
350019878,1,,FALSE
590041724,1,,FALSE
590094941,1,,FALSE
590051154,1,"Looks fine, maybe redirect 100600030702?",FALSE
590085200,1,,FALSE
590022173,1,,FALSE
590059435,1,,FALSE
590077657,1,,FALSE
590071946,1,,FALSE
590036264,1,,FALSE
590080391,1,,FALSE
590058933,1,,FALSE
590046424,1,,FALSE
590061657,1,,FALSE
590034211,1,,FALSE
590141509,1,,FALSE
590018485,1,,FALSE
590189112,1,,FALSE
590067874,1,,FALSE
550089120,1,,FALSE
550044315,1,,FALSE
550075197,1,,FALSE
550003144,1,,FALSE
550003151,1,,FALSE
550036294,1,,FALSE
550037159,1,,FALSE
550032250,1,,FALSE
550031020,1,,FALSE
550031941,1,,FALSE
550042557,1,,FALSE
390050120,1,,FALSE
390073771,1,,FALSE
390047453,1,,FALSE
390098955,1,,FALSE
350009839,1,,FALSE
390066358,1,,FALSE
390044007,1,,FALSE
390051011,1,,FALSE
390011768,1,,FALSE
390022018,1,,FALSE
390042643,1,,FALSE
390054878,1,,FALSE
390029361,1,,FALSE
390070919,1,,FALSE
390040216,1,,FALSE
390038671,1,,FALSE
350012700,2,"Messy, maybe redelineate?",FALSE
390017440,1,,FALSE
290021188,1,,FALSE
50046565,1,,FALSE
50017319,1,,FALSE
50032402,1,,FALSE
50046500,1,,FALSE
50079008,1,,FALSE
50049181,1,,FALSE
50018385,1,,FALSE
50106923,1,,FALSE
50106922,1,,FALSE
50034650,1,,FALSE
50041401,1,,FALSE
50043521,1,,FALSE
50032505,1,,FALSE
50008693,1,toHUC or delineation of 170402060301 is problematic,FALSE
50034338,1,,FALSE
50063116,1,,FALSE
50045320,1,,FALSE
50010336,1,,FALSE
50005662,1,,FALSE
50034778,1,,FALSE
50061481,1,,FALSE
50052957,1,,FALSE
50109416,1,,FALSE
630012194,1,,FALSE
630012377,1,,FALSE
630019769,1,,FALSE
630015405,1,,FALSE
630008007,1,,FALSE
200038437,1,,FALSE
50049862,1,,FALSE
350037933,1,,FALSE
630001821,1,,FALSE
630008023,1,,FALSE
630041098,1,,FALSE
630020802,1,,FALSE
630028114,1,,FALSE
150011243,1,,FALSE
200032051,1,,FALSE
270009642,1,,FALSE
150010299,2,Lots of headwater overlaps -- one causing an issue between 010600030705 and 010600030704,FALSE
150010297,1,,FALSE
200010125,1,,FALSE
200013410,1,,FALSE
680004100,1,,FALSE
680003433,1,,FALSE
680020858,1,,FALSE
680008457,1,,FALSE
680013312,1,,FALSE
90018083,1,,FALSE
840013355,1,,FALSE
630020663,1,,FALSE
250043300,1,,FALSE
720010029,1,,FALSE
800002416,1,,FALSE
800002188,1,,FALSE
800008083,1,,FALSE
50056650,1,,FALSE
10034261,1,,FALSE
90019685,1,,FALSE
